cid,sid,car_lon,car_lat,days,times
709,1,-304265.9459,4477853.13,"Friday, January 23, 2009",23:40
570,12,-304293.2792,4477860.438,"Friday, January 23, 2009",22:36
709,2,-304254.6634,4477866.446,"Friday, January 23, 2009",23:40
570,11,-304278.6397,4477874.408,"Friday, January 23, 2009",22:36
709,3,-304243.286,4477880.652,"Friday, January 23, 2009",23:40
570,10,-304265.5065,4477889.665,"Friday, January 23, 2009",22:36
709,4,-304232.1153,4477894.543,"Friday, January 23, 2009",23:40
570,9,-304253.68,4477904.836,"Friday, January 23, 2009",22:36
709,5,-304220.4955,4477909.398,"Friday, January 23, 2009",23:40
570,8,-304241.2692,4477920.62,"Friday, January 23, 2009",22:36
709,6,-304208.3413,4477925.21,"Friday, January 23, 2009",23:40
570,7,-304229.3596,4477936.57,"Friday, January 23, 2009",22:36
709,7,-304197.6886,4477940.732,"Friday, January 23, 2009",23:40
571,11,-304443.8771,4477724.334,"Friday, January 23, 2009",22:37
708,7,-304392.1459,4477727.591,"Friday, January 23, 2009",23:40
571,10,-304431.9408,4477731.614,"Friday, January 23, 2009",22:37
708,8,-304381.5378,4477737.827,"Friday, January 23, 2009",23:40
571,9,-304420.4085,4477739.163,"Friday, January 23, 2009",22:37
708,9,-304370.4522,4477747.675,"Friday, January 23, 2009",23:40
571,8,-304408.7099,4477748.269,"Friday, January 23, 2009",22:37
708,10,-304359.685,4477757.781,"Friday, January 23, 2009",23:40
571,7,-304396.9044,4477758.378,"Friday, January 23, 2009",22:37
708,11,-304348.4047,4477767.833,"Friday, January 23, 2009",23:40
571,6,-304384.5145,4477769.099,"Friday, January 23, 2009",22:37
708,12,-304337.0531,4477778.553,"Friday, January 23, 2009",23:40
571,5,-304371.7872,4477781.36,"Friday, January 23, 2009",22:37
708,13,-304325.6183,4477790.051,"Friday, January 23, 2009",23:40
571,4,-304359.452,4477794.0,"Friday, January 23, 2009",22:37
708,14,-304313.4519,4477801.922,"Friday, January 23, 2009",23:40
571,3,-304346.4089,4477806.79,"Friday, January 23, 2009",22:37
708,15,-304302.1788,4477814.338,"Friday, January 23, 2009",23:40
571,2,-304333.6366,4477820.285,"Friday, January 23, 2009",22:37
708,16,-304290.1859,4477827.015,"Friday, January 23, 2009",23:40
571,1,-304319.5458,4477833.976,"Friday, January 23, 2009",22:37
709,0,-304277.6204,4477840.194,"Friday, January 23, 2009",23:40
571,0,-304306.5289,4477847.332,"Friday, January 23, 2009",22:36
572,9,-304565.638,4477644.472,"Friday, January 23, 2009",22:37
707,25,-304460.9603,4477645.341,"Friday, January 23, 2009",23:40
572,8,-304561.9292,4477650.042,"Friday, January 23, 2009",22:37
572,7,-304558.0683,4477653.794,"Friday, January 23, 2009",22:37
708,0,-304453.6497,4477655.478,"Friday, January 23, 2009",23:40
572,6,-304553.3426,4477658.355,"Friday, January 23, 2009",22:37
572,5,-304547.6761,4477662.815,"Friday, January 23, 2009",22:37
708,1,-304446.0588,4477665.811,"Friday, January 23, 2009",23:40
572,4,-304541.7198,4477668.37,"Friday, January 23, 2009",22:37
572,3,-304534.7014,4477674.149,"Friday, January 23, 2009",22:37
708,2,-304438.3823,4477676.135,"Friday, January 23, 2009",23:40
572,2,-304526.7065,4477680.162,"Friday, January 23, 2009",22:37
708,3,-304430.0098,4477686.497,"Friday, January 23, 2009",23:40
572,1,-304517.2481,4477686.918,"Friday, January 23, 2009",22:37
572,0,-304506.103,4477693.27,"Friday, January 23, 2009",22:37
708,4,-304421.2357,4477697.379,"Friday, January 23, 2009",23:40
571,15,-304494.0787,4477699.753,"Friday, January 23, 2009",22:37
571,14,-304481.8835,4477706.217,"Friday, January 23, 2009",22:37
708,5,-304412.1172,4477707.437,"Friday, January 23, 2009",23:40
571,13,-304469.4174,4477711.978,"Friday, January 23, 2009",22:37
708,6,-304402.4737,4477717.551,"Friday, January 23, 2009",23:40
571,12,-304456.6092,4477717.702,"Friday, January 23, 2009",22:37
707,21,-304486.6722,4477612.742,"Friday, January 23, 2009",23:40
572,23,-304592.3863,4477615.136,"Friday, January 23, 2009",22:38
707,22,-304479.9009,4477619.448,"Friday, January 23, 2009",23:40
572,22,-304586.8123,4477621.97,"Friday, January 23, 2009",22:38
707,23,-304473.4504,4477627.201,"Friday, January 23, 2009",23:40
572,21,-304579.1903,4477630.161,"Friday, January 23, 2009",22:38
572,20,-304575.8093,4477635.09,"Friday, January 23, 2009",22:38
707,24,-304467.3324,4477635.891,"Friday, January 23, 2009",23:40
572,17,-304574.2745,4477636.502,"Friday, January 23, 2009",22:38
572,18,-304574.2745,4477636.502,"Friday, January 23, 2009",22:38
572,19,-304574.2745,4477636.502,"Friday, January 23, 2009",22:38
572,11,-304572.5282,4477636.653,"Friday, January 23, 2009",22:37
572,16,-304573.9704,4477636.92,"Friday, January 23, 2009",22:37
572,15,-304573.8611,4477637.133,"Friday, January 23, 2009",22:37
572,14,-304573.2647,4477637.858,"Friday, January 23, 2009",22:37
572,13,-304572.5709,4477638.684,"Friday, January 23, 2009",22:37
572,12,-304572.0958,4477639.083,"Friday, January 23, 2009",22:37
572,10,-304568.6555,4477640.517,"Friday, January 23, 2009",22:37
707,17,-304506.9719,4477591.947,"Friday, January 23, 2009",23:40
572,26,-304611.6219,4477593.778,"Friday, January 23, 2009",22:38
707,18,-304503.2702,4477595.829,"Friday, January 23, 2009",23:40
707,19,-304498.9104,4477600.204,"Friday, January 23, 2009",23:40
572,25,-304605.0001,4477601.512,"Friday, January 23, 2009",22:38
707,20,-304492.65,4477606.176,"Friday, January 23, 2009",23:40
572,24,-304598.2786,4477608.561,"Friday, January 23, 2009",22:38
707,6,-304579.6701,4477537.351,"Friday, January 23, 2009",23:40
572,32,-304653.059,4477537.87,"Friday, January 23, 2009",22:38
707,7,-304569.3942,4477544.47,"Friday, January 23, 2009",23:40
572,31,-304645.6388,4477548.221,"Friday, January 23, 2009",22:38
707,8,-304560.1067,4477551.245,"Friday, January 23, 2009",23:40
707,9,-304552.2828,4477557.276,"Friday, January 23, 2009",23:40
572,30,-304638.057,4477557.655,"Friday, January 23, 2009",22:38
707,10,-304545.9059,4477561.098,"Friday, January 23, 2009",23:40
707,11,-304540.2749,4477565.224,"Friday, January 23, 2009",23:40
572,29,-304630.7081,4477567.338,"Friday, January 23, 2009",22:38
707,12,-304535.3877,4477568.867,"Friday, January 23, 2009",23:40
707,13,-304528.0248,4477573.822,"Friday, January 23, 2009",23:40
572,28,-304624.3714,4477576.454,"Friday, January 23, 2009",22:38
707,14,-304524.19,4477578.14,"Friday, January 23, 2009",23:40
707,15,-304520.4765,4477582.133,"Friday, January 23, 2009",23:40
572,27,-304617.7044,4477585.422,"Friday, January 23, 2009",22:38
707,16,-304514.7601,4477586.25,"Friday, January 23, 2009",23:40
706,11,-304692.1378,4477469.217,"Friday, January 23, 2009",23:39
573,3,-304709.9879,4477474.612,"Friday, January 23, 2009",22:38
706,12,-304679.2695,4477479.549,"Friday, January 23, 2009",23:39
573,2,-304699.113,4477485.72,"Friday, January 23, 2009",22:38
706,13,-304666.4345,4477488.759,"Friday, January 23, 2009",23:39
573,1,-304688.5778,4477496.076,"Friday, January 23, 2009",22:38
707,0,-304653.5473,4477496.838,"Friday, January 23, 2009",23:39
707,1,-304640.1707,4477504.64,"Friday, January 23, 2009",23:39
573,0,-304678.9954,4477506.421,"Friday, January 23, 2009",22:38
707,2,-304627.5854,4477511.513,"Friday, January 23, 2009",23:39
572,34,-304670.1472,4477517.183,"Friday, January 23, 2009",22:38
707,3,-304614.8765,4477517.922,"Friday, January 23, 2009",23:39
707,4,-304601.6783,4477524.055,"Friday, January 23, 2009",23:39
572,33,-304661.6649,4477527.758,"Friday, January 23, 2009",22:38
707,5,-304590.5708,4477530.861,"Friday, January 23, 2009",23:40
706,3,-304803.4448,4477371.469,"Friday, January 23, 2009",23:39
573,12,-304825.287,4477371.888,"Friday, January 23, 2009",22:38
573,11,-304811.886,4477383.964,"Friday, January 23, 2009",22:38
706,4,-304789.2312,4477385.485,"Friday, January 23, 2009",23:39
573,10,-304798.497,4477395.929,"Friday, January 23, 2009",22:38
706,5,-304774.4047,4477398.759,"Friday, January 23, 2009",23:39
573,9,-304784.937,4477407.876,"Friday, January 23, 2009",22:38
706,6,-304760.1367,4477410.855,"Friday, January 23, 2009",23:39
573,8,-304771.6312,4477419.062,"Friday, January 23, 2009",22:38
706,7,-304746.4793,4477422.904,"Friday, January 23, 2009",23:39
573,7,-304759.6845,4477431.293,"Friday, January 23, 2009",22:38
706,8,-304732.784,4477434.499,"Friday, January 23, 2009",23:39
573,6,-304746.7447,4477442.293,"Friday, January 23, 2009",22:38
706,9,-304719.5401,4477445.916,"Friday, January 23, 2009",23:39
573,5,-304734.4156,4477453.245,"Friday, January 23, 2009",22:38
706,10,-304705.6144,4477458.049,"Friday, January 23, 2009",23:39
573,4,-304721.8655,4477463.837,"Friday, January 23, 2009",22:38
574,5,-304934.3475,4477265.235,"Friday, January 23, 2009",22:38
705,9,-304903.7181,4477271.756,"Friday, January 23, 2009",23:39
574,4,-304920.7204,4477279.425,"Friday, January 23, 2009",22:38
705,10,-304889.9319,4477285.817,"Friday, January 23, 2009",23:39
574,3,-304907.0434,4477293.273,"Friday, January 23, 2009",22:38
705,11,-304875.8534,4477300.185,"Friday, January 23, 2009",23:39
574,2,-304893.5993,4477307.37,"Friday, January 23, 2009",22:38
705,12,-304861.6277,4477314.311,"Friday, January 23, 2009",23:39
574,1,-304879.7633,4477321.088,"Friday, January 23, 2009",22:38
706,0,-304847.1336,4477328.522,"Friday, January 23, 2009",23:39
574,0,-304865.9629,4477334.472,"Friday, January 23, 2009",22:38
706,1,-304832.7013,4477342.964,"Friday, January 23, 2009",23:39
573,14,-304852.2221,4477347.3,"Friday, January 23, 2009",22:38
706,2,-304818.269,4477357.406,"Friday, January 23, 2009",23:39
573,13,-304838.5526,4477359.46,"Friday, January 23, 2009",22:38
705,1,-305011.6789,4477155.981,"Friday, January 23, 2009",23:39
574,12,-305032.4381,4477161.688,"Friday, January 23, 2009",22:38
705,2,-304998.7976,4477170.476,"Friday, January 23, 2009",23:39
574,11,-305018.7535,4477177.223,"Friday, January 23, 2009",22:38
705,3,-304986.0137,4477184.869,"Friday, January 23, 2009",23:39
574,10,-305004.5297,4477192.137,"Friday, January 23, 2009",22:38
705,4,-304972.4861,4477199.746,"Friday, January 23, 2009",23:39
574,9,-304990.1609,4477207.599,"Friday, January 23, 2009",22:38
705,5,-304958.8849,4477214.502,"Friday, January 23, 2009",23:39
574,8,-304976.2057,4477222.43,"Friday, January 23, 2009",22:38
705,6,-304945.5024,4477228.831,"Friday, January 23, 2009",23:39
574,7,-304962.2624,4477237.15,"Friday, January 23, 2009",22:38
705,7,-304931.754,4477243.346,"Friday, January 23, 2009",23:39
