cell_long,cell_lat,count
-330229.31,4461050.0,5970
-324229.31,4464050.0,4620
-329729.31,4464550.0,3144
-329229.31,4469050.0,3080
-330229.31,4461550.0,2820
-329729.31,4466550.0,2558
-322729.31,4466550.0,2494
-330229.31,4462050.0,2468
-329729.31,4466050.0,2167
-321229.31,4464050.0,2113
-322229.31,4463550.0,2093
-322729.31,4465550.0,2008
-331229.31,4461050.0,1976
-324729.31,4460550.0,1895
-329729.31,4464050.0,1862
-329729.31,4463550.0,1781
-329229.31,4468050.0,1737
-322729.31,4466050.0,1734
-327729.31,4466550.0,1715
-329229.31,4468550.0,1680
-326729.31,4466050.0,1614
-327729.31,4466050.0,1607
-331729.31,4461050.0,1556
-331229.31,4461550.0,1496
-329729.31,4465050.0,1467
-329729.31,4465550.0,1459
-323229.31,4468550.0,1443
-330229.31,4462550.0,1436
-329729.31,4467050.0,1420
-326729.31,4467550.0,1409
-320729.31,4469050.0,1408
-322729.31,4463550.0,1401
-328729.31,4463050.0,1357
-323229.31,4463550.0,1349
-327729.31,4467050.0,1268
-324729.31,4460050.0,1262
-323229.31,4469050.0,1259
-317229.31,4460550.0,1233
-323229.31,4466050.0,1078
-329229.31,4467550.0,1069
-331729.31,4461550.0,1048
-327229.31,4466050.0,1040
-322729.31,4468550.0,1037
-326729.31,4466550.0,1013
-323229.31,4465550.0,1006
-326729.31,4463050.0,994
-330729.31,4461550.0,974
-324229.31,4465550.0,973
-327229.31,4466550.0,971
-327229.31,4467550.0,962
-321229.31,4463550.0,934
-332229.31,4469050.0,916
-321229.31,4468050.0,909
-325729.31,4466050.0,887
-326229.31,4459550.0,872
-331229.31,4460050.0,864
-320729.31,4468550.0,864
-321729.31,4468050.0,858
-319729.31,4469050.0,849
-330229.31,4460550.0,847
-331729.31,4460550.0,844
-326729.31,4459550.0,826
-323729.31,4463550.0,816
-328229.31,4467550.0,797
-329729.31,4463050.0,788
-326729.31,4467050.0,785
-328229.31,4467050.0,777
-325729.31,4466550.0,748
-331229.31,4460550.0,748
-327729.31,4467550.0,747
-326729.31,4462550.0,732
-328229.31,4468050.0,702
-322229.31,4468550.0,696
-332729.31,4465050.0,696
-328229.31,4469050.0,692
-326229.31,4464050.0,692
-329729.31,4467550.0,678
-328729.31,4466050.0,667
-322229.31,4458050.0,655
-323729.31,4465550.0,654
-326729.31,4462050.0,642
-328229.31,4466050.0,634
-329729.31,4462550.0,629
-328229.31,4466550.0,609
-325729.31,4467050.0,605
-324229.31,4464550.0,602
-317729.31,4469050.0,599
-329229.31,4462550.0,597
-329229.31,4466050.0,584
-332729.31,4467050.0,582
-316729.31,4463550.0,578
-330729.31,4460550.0,576
-325729.31,4464050.0,559
-331729.31,4460050.0,550
-330229.31,4464550.0,538
-325729.31,4465550.0,536
-324729.31,4465550.0,532
-325229.31,4469050.0,524
-318229.31,4465050.0,520
-326229.31,4466050.0,516
-332229.31,4461050.0,516
-323729.31,4460050.0,512
-325729.31,4467550.0,503
-327729.31,4465550.0,501
-317229.31,4469050.0,498
-325729.31,4460550.0,494
-326729.31,4460050.0,474
-326729.31,4460550.0,471
-326729.31,4461050.0,469
-327729.31,4465050.0,467
-328229.31,4463050.0,461
-330229.31,4463050.0,457
-323729.31,4460550.0,454
-326729.31,4461550.0,447
-323229.31,4458050.0,441
-331229.31,4469050.0,439
-323729.31,4464050.0,436
-319729.31,4463050.0,428
-316729.31,4463050.0,427
-327229.31,4467050.0,426
-329729.31,4462050.0,423
-326229.31,4462050.0,423
-322729.31,4458050.0,422
-328229.31,4468550.0,421
-325729.31,4459550.0,419
-327229.31,4463050.0,404
-325729.31,4461050.0,399
-324729.31,4459550.0,398
-326729.31,4458050.0,394
-325729.31,4464550.0,394
-326229.31,4458050.0,391
-332729.31,4468050.0,388
-327729.31,4463050.0,388
-327229.31,4459550.0,385
-323729.31,4458050.0,382
-325729.31,4458050.0,377
-327229.31,4458050.0,376
-332729.31,4468550.0,374
-326229.31,4467050.0,372
-316729.31,4468550.0,371
-324229.31,4463550.0,369
-324229.31,4458050.0,366
-325229.31,4465550.0,365
-325229.31,4458050.0,363
-324729.31,4458050.0,361
-326729.31,4465050.0,359
-325729.31,4468050.0,358
-330229.31,4460050.0,356
-317729.31,4464550.0,343
-332729.31,4467550.0,342
-329229.31,4467050.0,332
-325729.31,4463550.0,332
-320729.31,4468050.0,331
-326729.31,4463550.0,327
-326229.31,4463550.0,323
-321729.31,4463550.0,322
-327229.31,4458550.0,321
-329229.31,4466550.0,320
-319229.31,4469050.0,320
-326729.31,4465550.0,316
-332729.31,4466050.0,316
-326729.31,4464050.0,309
-327229.31,4457550.0,308
-327729.31,4457550.0,304
-325729.31,4462050.0,301
-324229.31,4460550.0,300
-325729.31,4465050.0,300
-329729.31,4468550.0,300
-318729.31,4464550.0,299
-331229.31,4464550.0,298
-330729.31,4466550.0,296
-323729.31,4461550.0,290
-317729.31,4465050.0,289
-321729.31,4458050.0,288
-319729.31,4462550.0,287
-332729.31,4466550.0,287
-327229.31,4459050.0,286
-329229.31,4458050.0,280
-324229.31,4465050.0,278
-331729.31,4466550.0,275
-326229.31,4463050.0,273
-318229.31,4467050.0,272
-325729.31,4461550.0,271
-328729.31,4466550.0,267
-326229.31,4467550.0,266
-328729.31,4464550.0,266
-325229.31,4466050.0,265
-325229.31,4468550.0,262
-317729.31,4463550.0,261
-317229.31,4461050.0,256
-325229.31,4468050.0,251
-323729.31,4461050.0,248
-327729.31,4464050.0,248
-328729.31,4464050.0,247
-317229.31,4464550.0,246
-325229.31,4460550.0,245
-318729.31,4467050.0,244
-316729.31,4462550.0,239
-316729.31,4464050.0,239
-317729.31,4468050.0,238
-324729.31,4462050.0,236
-332229.31,4461550.0,234
-328729.31,4463550.0,226
-322229.31,4468050.0,226
-329229.31,4464550.0,223
-324229.31,4463050.0,223
-332229.31,4464550.0,222
-317229.31,4463550.0,221
-317229.31,4461550.0,221
-317229.31,4464050.0,219
-317229.31,4462050.0,214
-332729.31,4460050.0,211
-329729.31,4458550.0,209
-328729.31,4467050.0,208
-326229.31,4464550.0,207
-331729.31,4464550.0,206
-328229.31,4457550.0,205
-329229.31,4462050.0,204
