poi_lon,poi_lat,count
-321104.59,4463913.567,1782
-321140.3042,4463936.822,1764
-324364.6959,4464061.155,1762
-321170.7548,4463839.662,1476
-328440.7623,4472627.342,1472
-327897.2632,4470948.18,1366
-321085.4639,4463939.826,1362
-327817.8539,4471038.795,1327
-327793.7351,4471018.76,1307
-337768.7326,4475134.234,1216
-327780.5313,4471022.033,1212
-321080.1794,4463871.009,1160
-328484.0941,4472646.358,1024
-327780.0577,4471043.282,902
-327838.1346,4470914.789,899
-328482.8283,4472729.601,864
-327857.6976,4470905.691,859
-337821.0093,4475139.577,757
-327779.0774,4471060.77,730
-324019.7281,4463850.989,640
-337693.9747,4475012.325,609
-321065.027,4463713.013,598
-321084.4954,4463666.487,588
-327774.9283,4471081.627,528
-328450.5925,4472840.705,517
-328392.7345,4472934.815,473
-328633.5959,4472827.918,454
-324417.5154,4463911.437,449
-328607.1987,4472818.532,436
-328649.2656,4472829.164,434
-324390.472,4464268.807,392
-324359.5066,4464215.778,390
-328628.7405,4472850.996,389
-327739.0116,4471068.331,388
-328317.454,4471774.012,351
-337849.5414,4475151.445,349
-322947.4438,4474301.383,348
-328567.2754,4472722.038,346
-327807.653,4471113.926,345
-322906.5579,4474292.746,336
-322892.9219,4474289.907,328
-322896.6027,4474290.309,328
-322902.2875,4474289.014,326
-328552.0376,4472802.452,323
-327826.7487,4471117.866,323
-322887.4435,4474289.31,319
-324445.8568,4463958.391,311
-321293.3864,4463948.439,308
-322882.28,4474285.03,303
-322874.3237,4474289.681,296
-325753.7778,4470843.646,294
-325726.1039,4470826.925,293
-322870.9227,4474287.508,287
-329018.5273,4472757.043,284
-324090.4565,4463764.499,282
-329098.0577,4472857.248,276
-326894.9921,4465955.494,271
-323053.2442,4474307.934,262
-322855.0398,4474289.864,259
-323033.9636,4474295.221,259
-324034.8117,4473599.977,253
-328314.7465,4472159.078,248
-323064.1849,4474310.388,247
-322833.1084,4474354.677,245
-328796.2677,4470800.569,243
-328762.0807,4470811.868,241
-329126.4161,4472859.111,229
-328244.0676,4473779.97,226
-328859.335,4470711.783,220
-328863.9071,4470710.246,220
-323036.7263,4474284.98,220
-328298.1033,4472113.444,218
-322837.7954,4474283.896,216
-328221.015,4470918.942,214
-328406.6642,4472017.257,211
-322830.1189,4474286.775,208
-322810.955,4474348.928,206
-323777.5598,4473450.558,206
-323061.4722,4474502.01,204
-324329.294,4478248.996,203
-328248.8876,4473128.938,201
-328234.8748,4470914.514,200
-328230.5244,4470915.614,200
-327706.6504,4471041.175,198
-315417.4149,4462938.455,198
-326649.7537,4470923.46,193
-322822.7573,4474285.972,193
-322804.736,4474348.767,191
-328319.7447,4470897.247,191
-330247.5196,4474729.596,191
-323085.3742,4474309.096,190
-322900.1795,4474428.509,188
-327630.677,4473766.819,188
-328245.0767,4470911.116,187
-330179.8666,4474645.502,186
-322815.2445,4474290.21,185
-328302.5075,4470891.29,184
-327531.7471,4473834.147,184
-327586.4995,4473765.14,184
-327563.3063,4473836.323,184
-327512.8108,4473832.848,184
-328294.5186,4470893.793,183
-328338.0399,4470879.483,183
-327538.0592,4473834.58,183
-328272.6838,4470902.022,183
-329014.1719,4472884.151,183
-328287.0511,4470896.444,182
-327525.435,4473833.714,182
-328290.4179,4470895.383,182
-328314.4685,4470886.947,181
-328298.5008,4470892.653,181
-327519.1229,4473833.281,181
-328332.7852,4470880.529,180
-327544.3713,4473835.013,180
-328344.4114,4470877.264,180
-328277.7973,4470899.496,180
-327550.6834,4473835.446,180
-327490.4721,4473831.288,178
-323811.3405,4473502.913,178
-328264.9862,4470904.636,177
-326715.9543,4470865.633,177
-327462.1845,4473829.381,175
-326737.5062,4470867.484,175
-328291.7529,4472152.692,173
-329163.8086,4472815.173,173
-327612.3585,4473751.034,173
-328257.3118,4470907.039,172
-327448.045,4473828.428,172
-324032.1969,4473745.796,171
-328295.574,4473252.948,171
-324036.5038,4473740.151,169
-327433.9067,4473827.463,169
-327906.7261,4470668.136,168
-327419.7672,4473826.51,168
-327405.6277,4473825.557,168
-322807.8399,4474286.148,168
-324033.7358,4473714.247,165
-327392.3885,4473829.986,163
-328293.109,4473319.319,162
-324396.2313,4463593.901,162
-328292.2466,4473326.231,161
-329145.2677,4472863.424,161
-330130.5593,4474616.577,161
-322803.9649,4474287.527,161
-326751.668,4467553.55,157
-327572.572,4473739.969,152
-328253.1224,4473723.277,151
-322798.6807,4474285.149,149
-327282.0683,4473840.094,147
-328537.8274,4471461.855,146
-329231.5458,4473094.596,146
-323523.8137,4474417.303,145
-327290.5121,4473840.84,145
-324006.7796,4474160.251,145
-337464.0579,4474896.6,144
-324003.8613,4470680.894,144
-328280.5865,4473596.893,142
-328325.4408,4473554.447,141
-337882.6473,4475154.67,140
-329116.342,4473054.917,139
-328287.5651,4473455.757,138
-329240.261,4472624.697,138
-331724.6687,4475535.994,138
-325620.2436,4470815.388,136
-331796.0884,4475635.385,135
-327468.2493,4466598.611,135
-322800.4181,4474273.028,135
-328985.34,4470625.802,132
-326606.4275,4478591.184,131
-323985.6598,4470702.448,130
-326595.7623,4478590.847,129
-329152.0513,4472874.251,128
-323797.0549,4472989.485,126
-326519.8076,4478588.486,125
-322604.0292,4463815.772,122
-330103.3473,4474599.614,120
-330047.0878,4474482.888,119
-323605.845,4460296.642,118
-329152.3049,4472879.044,117
-325921.2871,4466791.21,117
-329589.1318,4466172.225,116
-326129.2967,4478549.078,116
-326440.7197,4478589.432,114
-324245.2344,4470682.481,112
-336468.0419,4474904.11,111
-329308.8158,4472743.717,111
-323897.1763,4471878.014,110
-323886.8728,4471960.697,110
-323983.0093,4470727.861,109
-330307.2701,4474678.491,109
-324975.5817,4477898.16,108
-323225.0046,4474378.164,108
-330486.9225,4478745.575,107
-323913.9122,4471880.121,106
-324335.7693,4465734.635,106
-331757.0723,4475608.291,106
-327083.6978,4473715.465,106
-327916.684,4470645.133,104
-330335.1915,4474846.627,102
-323891.7089,4471719.883,102
-327885.8013,4478860.547,102
-329158.2368,4472885.08,100
-329595.3519,4466102.445,99
-329195.531,4466284.698,99
-328066.4205,4478873.848,99
-323996.7978,4473503.807,98
-324375.6763,4478395.809,97
-323217.6598,4474288.285,97
-323170.1114,4474281.961,95
-331762.9243,4475461.158,95
-323183.1767,4474285.188,95
-329238.5697,4472531.676,93
-323467.0201,4474405.136,93
-331495.4278,4475385.906,93
-328346.3052,4478789.189,91
-329170.0117,4473018.917,91
-324154.9513,4470726.547,91
-330051.554,4462496.904,90
-326431.2406,4473745.697,90
-323884.6522,4470703.911,89
-324352.6167,4464704.232,88
-328494.0321,4472974.014,88
-323805.175,4471709.046,88
-324458.4807,4478483.656,88
-325851.5613,4465813.744,87
-328368.8469,4478753.49,87
-326423.6613,4473770.605,86
-326427.7464,4473690.413,86
-328329.2799,4478823.625,86
-329967.5566,4462590.254,86
-329970.8143,4474240.787,85
-324174.168,4464116.252,84
-327344.2937,4470919.408,83
-326861.098,4473786.167,83
-328421.5449,4478799.59,83
-323707.0546,4461605.756,82
-323929.1319,4473513.473,80
-331421.6253,4464712.833,80
-326343.0746,4473742.869,79
-323603.0141,4474593.034,79
-327027.8356,4473793.938,78
-323847.0055,4475193.661,78
-326720.1802,4473820.156,77
-329245.9072,4472763.212,77
-324195.7015,4465525.196,76
-323443.6769,4474404.176,76
-331436.4291,4475397.733,76
-329730.873,4464810.309,75
-329810.1655,4464052.255,74
-323685.3254,4474800.046,74
-326700.9732,4466430.851,74
-328535.2374,4473039.861,73
-333985.8907,4475663.868,73
-326129.7373,4467650.638,73
-329825.843,4463919.506,73
-329790.7212,4464851.385,73
-325154.157,4473656.269,73
-325841.604,4473657.152,73
-326260.7812,4470799.118,73
-323920.9493,4473558.195,73
-325193.9845,4473660.454,72
-329972.6629,4474247.298,72
-326358.7684,4473662.045,72
-326343.0877,4473776.775,70
-323906.5986,4471503.176,70
-323770.4428,4472270.857,70
-323883.3452,4471999.462,70
-330818.6221,4477541.653,70
-324523.182,4470624.758,70
-325864.8128,4473684.956,69
-328294.0697,4474703.693,69
-325738.9447,4473655.753,69
-329808.2137,4464070.616,68
-324575.6748,4470628.73,68
-337895.5806,4475128.352,68
-326164.0096,4467718.112,67
-325568.3185,4470828.974,67
-329305.0097,4472777.184,67
-324255.7758,4465153.032,66
-325594.5501,4470831.773,66
-325576.5685,4470829.853,66
-325561.6529,4470828.268,66
-324629.1343,4470634.565,66
-325586.8996,4470830.959,66
-325141.8754,4473589.992,65
-324493.6832,4470619.579,65
-326177.7793,4467715.64,65
-324147.6249,4465548.601,64
-324466.7252,4470620.5,64
-323883.3118,4470737.576,64
-325657.6633,4473670.154,63
-326127.5462,4467733.073,63
-326005.3852,4467665.337,63
-322855.7302,4471924.356,63
-329100.695,4472905.12,62
-325529.3188,4473661.296,62
-326697.463,4473711.796,62
-326652.8207,4483185.247,62
-325552.4581,4473662.892,61
-320476.9046,4473063.99,61
-329956.7703,4474310.417,61
-325691.7998,4473672.514,61
-325518.781,4478679.034,61
-325568.8646,4473664.022,61
-323958.7817,4473621.827,61
-325608.4704,4473666.755,61
-326209.0237,4467701.866,60
-326728.1332,4473703.971,60
-337312.1513,4475123.758,60
-326717.534,4473701.863,60
-328134.9725,4473044.268,60
-329352.2695,4468301.608,59
-329303.0163,4470363.329,59
-323883.1672,4470743.113,59
-322852.3888,4471896.736,58
-325893.1232,4467667.548,58
-325212.7118,4465754.089,58
-325632.5208,4473668.417,58
-326494.7726,4473776.556,57
-325621.7445,4473641.636,57
-326739.5746,4473704.402,57
-326210.2378,4467717.655,57
-323332.2351,4474387.724,56
-327938.839,4470646.637,56
-329310.6818,4470276.349,56
-328227.7795,4478720.794,55
-326500.8698,4473685.197,55
-329247.1524,4472800.952,55
-326883.9893,4473818.581,55
-323882.314,4470746.725,55
-329247.1411,4472815.257,54
-328735.4379,4473019.661,54
-323389.458,4474393.18,54
-325760.0607,4479418.272,54
-324198.4016,4465111.926,54
-329331.239,4472530.105,54
-329242.8633,4472814.753,54
-324807.4804,4473622.204,54
-325489.5367,4473606.709,54
-326772.6258,4473706.479,53
-326019.2435,4467743.093,53
-329316.0008,4472499.829,53
-326408.1616,4471834.495,52
-326756.4574,4473852.73,52
-326771.8726,4472606.659,52
-326488.4497,4473789.752,52
-326513.2327,4473760.758,52
-324238.6407,4465373.649,52
-336106.0404,4475195.883,51
-326757.6033,4483139.771,51
-326785.4711,4473699.551,51
-313982.1809,4467065.07,51
-326764.5918,4473706.342,51
-324261.6294,4465378.833,50
-326756.5844,4473705.33,50
-326786.5711,4473697.182,50
-326719.422,4473834.908,49
-326877.2121,4473836.154,49
-328111.405,4473115.736,48
-326522.9898,4473754.415,48
-325447.9716,4473587.351,47
-326774.0971,4473691.94,46
-324199.2094,4464781.028,46
-326684.3146,4473704.961,46
-329301.9805,4472836.556,46
-323888.7771,4471769.154,46
-328130.605,4473123.103,45
-326959.8989,4473813.325,45
-324339.4371,4465126.927,44
-326697.126,4473831.7,44
-326309.0661,4473656.243,44
-329401.5621,4468605.691,44
-326948.5062,4473819.41,44
-325088.833,4473116.939,43
-325412.0759,4463104.191,43
-329310.5025,4472853.015,42
-323775.477,4472450.407,42
-326368.0466,4480493.267,42
-331050.5273,4470365.153,42
-326949.7709,4473823.919,41
-322851.2155,4471880.548,41
-326664.8522,4473709.655,41
-324814.6623,4473563.62,40
-328476.4421,4472438.09,40
-327054.2824,4483084.507,40
-326597.2542,4473691.393,39
-327961.2201,4470903.272,38
-326388.1732,4467660.202,38
-326958.2813,4473830.54,38
-329665.9649,4472125.148,38
-325447.2685,4461781.971,38
-326641.6926,4473696.767,38
-325514.2169,4481017.744,38
-324331.2704,4464592.209,38
-325808.0376,4465892.86,38
-326837.2944,4483141.126,37
-326548.8457,4473776.778,37
-324900.8331,4481103.046,37
-324234.8982,4475638.29,37
-323776.793,4472516.405,36
-329284.973,4473095.598,36
-320355.2638,4474057.967,36
-326100.9629,4473718.978,35
-326251.5329,4473763.203,35
-325101.7902,4481076.28,35
-329263.0175,4468948.128,35
-320353.5675,4474039.314,35
-326276.4872,4473651.201,35
-325055.2863,4481080.218,34
-328200.8345,4474783.384,34
-329158.7478,4472935.265,34
-324232.1159,4464973.407,34
-320409.9016,4474119.427,34
-327952.7897,4467722.618,34
-323828.6745,4472582.064,34
-326918.062,4467543.866,33
-326826.921,4467494.792,33
-322683.159,4470482.074,33
-326248.3046,4480897.89,33
-326177.4013,4473748.521,33
-325009.0777,4481087.624,33
-326603.5081,4472117.311,32
-325245.211,4481150.582,32
-324259.7329,4463726.512,32
-325768.5926,4472972.033,32
-325549.9747,4461335.616,32
-324358.8413,4462894.342,32
-326219.8065,4473763.278,32
-324229.847,4464995.752,32
-326931.0197,4467542.962,31
-326581.2835,4466457.037,31
-326590.5533,4472141.293,31
-324900.8258,4477646.841,31
-329540.313,4466639.102,31
-329296.4666,4472893.695,30
-326982.5339,4472324.304,30
-327467.9398,4482864.198,30
-320361.9035,4473999.441,30
-323968.5395,4470901.196,30
-329549.0999,4466550.668,30
-320358.3537,4474012.017,29
-325820.4304,4473006.978,29
-324826.2201,4472833.057,29
-329550.5787,4466535.758,29
-325542.6329,4461441.465,29
-325552.5809,4461309.466,29
-328290.2235,4474586.015,28
-323294.5144,4470653.888,28
-327426.1964,4467127.462,28
-322873.6834,4470486.729,28
-326995.5779,4472303.159,28
-325314.4153,4470672.58,28
-328168.8126,4474721.439,28
-320381.7447,4474207.136,28
-323362.3205,4470534.506,28
-320468.2643,4470325.582,28
-329235.5524,4473011.967,28
-325902.0162,4473017.976,28
-327930.4883,4467721.979,28
-325706.6056,4472998.188,28
-325847.0504,4472898.92,27
