pid,tags_poi,poi_lon,poi_lat
245090969,"amenity=bus_station,name:en=Star Ferry",-725418.2566,2514882.714
253338398,amenity=parking,-749746.2105,2519556.615
278953259,"amenity=cinema,name:en=The Grand",-726002.114,2515953.202
280435189,amenity=grave_yard,-719859.9052,2523901.061
293141188,amenity=restaurant,-710959.4446,2524898.826
324615589,"shop=mall,name:en=Mong Kok Computer Centre",-724983.2561,2517610.086
478400229,"shop=supermarket,name:en=Park N' Shop",-724598.0801,2517441.52
506089487,"amenity=post_office,name:en=Lam Tin Post Office",-718377.9177,2515957.142
517241327,amenity=fuel,-724437.5649,2517634.405
544898401,"amenity=place_of_worship,name:en=Buddha Temple",-722926.1439,2525224.609
568315480,"amenity=bus_station,name:en=Ngau Tau Kok",-720152.5894,2517733.707
611687326,amenity=shelter,-750987.7248,2515872.587
612227465,amenity=place_of_worship,-754251.7611,2515699.881
618594352,"shop=supermarket,name:en=Fusion",-741319.5778,2516301.902
660415710,"amenity=toilets,name:en=Tseng Lan Shue Public Toilet",-717972.8849,2518743.754
705208273,amenity=shelter,-716531.1226,2524226.574
727296752,amenity=police,-741319.1174,2516393.559
737159800,"amenity=bus_station,name:en=Tsz Wan Shan (North) Bus Terminus",-721862.737,2521019.599
762013843,"amenity=restaurant,name:en=Hon Po",-725308.1895,2515868.308
886152634,"amenity=bank,name:en=Nanyang Commercial Bank",-724592.0432,2517524.318
991762835,"amenity=toilets,name:en=Kei Yip Street Public Toilet",-719773.1298,2516069.921
998474340,amenity=parking,-720540.9558,2517597.934
998475085,"amenity=bus_station,name:en=Fu Shan",-720895.6547,2520125.734
998476748,"amenity=parking,name:en=Tsz Lok Estate",-721765.0216,2520775.201
1001072892,amenity=post_box,-721521.2063,2524863.014
1021806931,amenity=doctors,-741397.4658,2516389.952
1049050824,"amenity=bbq,name:en=Tuen Mun Barbecue Area Site No.1",-743735.2758,2525998.858
1095783948,"amenity=restaurant,name:en=Kung Wo Dou Bun Chong TOFU",-723154.9528,2518719.635
1129276366,amenity=fire_station,-723102.455,2518129.104
1162958793,"amenity=cafe,name:en=Pacific Coffee",-743161.2385,2525114.629
1163595605,"amenity=ferry_terminal,name:en=North Point Vehicle Ferry Pier",-721818.9937,2514647.936
1172161653,"amenity=bbq,name:en=Kau Wa Keng BBQ Ground",-728370.1764,2520800.386
1179054539,"amenity=bbq,name:en=Pak Tam Chung Barbecue Area Site 5",-708647.4848,2525945.441
1191992739,amenity=fuel,-726863.1832,2520147.304
1210796287,"amenity=bus_station,name:en=Hung Hom Railway Station",-723954.7275,2515881.763
1210796471,amenity=parking,-723847.9137,2515838.442
1215986279,amenity=parking,-723151.4559,2516689.246
1216102258,amenity=taxi,-723440.2479,2516741.925
1248474575,amenity=toilets,-722461.3102,2520220.976
1258654651,amenity=parking,-720309.6411,2518839.01
1258725824,shop=supermarket,-721015.8126,2518490.088
1261185768,amenity=bank,-720178.066,2517681.456
1270065321,"shop=convenience,name:en=7-Eleven",-725929.7273,2519484.695
1270079923,shop=mobile_phone,-726068.5359,2519708.49
1274610776,amenity=taxi,-731256.9961,2524590.437
1278342000,"amenity=clinic,name:en=First Aid",-738488.7931,2518073.458
1279837776,"amenity=cafe,name:en=Market House Bakery",-738430.3538,2518066.789
1280504985,amenity=parking,-720026.3739,2517758.3
1280852512,shop=clothes,-725059.9298,2517540.092
1282555316,"amenity=bus_station,name:en=Tung Chung Station Bus Terminus",-749393.4081,2516299.586
1284043620,amenity=parking,-718144.0808,2515614.282
1296357008,amenity=taxi,-731342.614,2522772.663
1298704838,amenity=fast_food,-719546.8912,2516677.866
1299582098,"amenity=shelter,name:en=Ngan Chau Tsai Pavilion",-738334.0074,2514795.582
1311402649,amenity=bank,-723820.4399,2524028.611
1352950498,"amenity=bus_station,name:en=Shun Lee",-719071.9756,2518577.354
1356635066,"amenity=marketplace,name:en=Lok Wah South Market",-719931.2467,2517465.592
1358041658,amenity=toilets,-718427.3241,2516374.838
1370718464,amenity=toilets,-718278.7464,2514367.726
1393819787,shop=clothes,-722996.7405,2518646.53
1396132979,"shop=supermarket,name:en=Wellcome",-720772.6672,2519786.769
1397364935,"amenity=bus_station,name:en=Kwun Tong (Elegance Road)",-719903.5416,2516822.464
1398440496,shop=convenience,-720935.1521,2519825.438
1410188738,"amenity=community_centre,name:en=Hang Hau Community Hall",-714828.2568,2516648.229
1428643069,"amenity=restaurant,name:en=Pattaya Island Thai Restaurant",-736181.9075,2522018.573
1428645126,amenity=restaurant,-736180.9207,2522030.843
1449563410,"amenity=courthouse,name:en=Kwun Tong Magistrates' Court",-718965.9499,2516135.774
1473136074,"amenity=bus_station,name:en=Tsui Lam Bus Terminus",-716760.9079,2517424.347
1486317063,amenity=taxi,-721901.139,2525197.52
1492139566,amenity=parking,-721083.6223,2525087.657
1492502307,"amenity=bus_station,name:en=City One Shatin",-721094.7413,2524944.47
1496796013,amenity=taxi,-721883.3908,2524011.655
1510788524,amenity=toilets,-711315.084,2515402.86
1566542280,"amenity=post_office,name:en=Mei Foo Sun Chuen Post Office",-728311.8659,2520051.517
1575768573,"amenity=toilets,name:en=Sam Dip Tam Tsuen Public Toilet",-729320.4185,2525128.691
1629722931,amenity=clock,-719764.4343,2524233.171
1629723111,amenity=taxi,-719678.7937,2524255.635
1704984434,"amenity=toilets,name:en=Mei Foo Sun Chuen Bus Terminus Public Toilet",-728085.4693,2519977.662
1711507854,amenity=toilets,-729477.4123,2524285.175
1719987745,amenity=toilets,-715905.3436,2525235.018
1748636382,amenity=restaurant,-788094.7544,2515172.331
1749730534,"amenity=theatre,name:en=Zhūhǎi Opera",-786730.4935,2518947.902
1749730542,amenity=bicycle_rental,-787218.4368,2518150.664
1749752795,shop=doityourself,-788220.8357,2515766.542
1919809965,"amenity=toilets,name:en=Kwun Yam Shan Village Public Toilet",-719979.177,2522367.83
1933857667,amenity=toilets,-721201.8568,2517777.933
1939213784,"amenity=bus_station,name:en=Tseung Kwan O Station",-715718.9366,2515741.584
1946021126,"shop=bicycle,name:en=Happy Cycle Company",-721178.4988,2518342.409
1950757631,amenity=bank,-723103.5263,2515938.218
1950757635,"amenity=fast_food,name:en=McDonald's",-723560.634,2516055.904
1950757640,amenity=bank,-723345.7363,2516088.478
1950761615,amenity=bank,-723390.6794,2516127.879
1950761617,amenity=atm,-723956.6706,2515784.125
1951155259,amenity=fast_food,-722134.9994,2519125.861
1951187122,"amenity=doctors,name:en=Robert Black General Out-patient Clinic",-722281.0392,2518987.707
1951187610,amenity=parking,-721993.4883,2519160.24
1952280934,amenity=parking,-730082.6082,2523896.703
1952413603,"amenity=place_of_worship,name:en=Kuet's Ancestral Hall",-715984.1415,2525022.513
1952698866,"amenity=restaurant,name:en=Outback Steakhouse",-723294.4733,2515840.503
1953013926,amenity=shelter,-726629.7859,2523069.277
1955056226,"amenity=place_of_worship,name:en=Kowloon Tong Church of the Chinese Christian and Missionary Alliance Alliance International Church",-723045.516,2515704.624
1956656920,"amenity=library,name:en=San Po Kong Public Library",-722233.0651,2519227.659
1956656938,amenity=fast_food,-722143.4513,2519347.96
1959928734,"shop=convenience,name:en=7-Eleven",-723634.8367,2516294.933
1959928736,amenity=bank,-723397.372,2516106.042
1985833598,"amenity=bus_station,name:en=Lek Yuen Bus Terminus",-722167.8794,2524902.977
1986998263,amenity=restaurant,-787154.498,2518448.428
2003864915,amenity=bus_station,-725226.0446,2519698.05
2003910353,shop=supermarket,-725257.0293,2519392.91
2003912002,"name:en=7-Eleven,shop=convenience",-725211.0757,2519402.083
2010167917,amenity=shelter,-715317.7571,2518039.772
2035790706,"amenity=bus_station,name:en=Shek Mun Estate",-720422.2771,2525042.223
2078784136,amenity=parking,-719552.1126,2516939.485
2081374309,amenity=toilets,-723584.4936,2517450.02
2085321946,amenity=bbq,-735084.7158,2523658.358
2085322008,amenity=bbq,-735086.8474,2523666.94
2101333051,"amenity=fast_food,name:en=McDonald's",-718602.2614,2517144.775
2140028358,amenity=shelter,-708645.7044,2524661.382
2140028398,amenity=bbq,-708135.9919,2523502.012
2140040028,amenity=toilets,-708102.3525,2525241.432
2150729557,amenity=bbq,-723511.5653,2522604.581
2157197824,shop=supermarket,-716819.2981,2519340.875
2157228590,"amenity=police,name:en=Kwai Tsing Police District Headquarters and Tsing Yi Police Station",-731343.8306,2521827.72
2159769528,"amenity=toilets,name:en=Lutheran Village Public Toilet",-731407.4504,2521906.835
2185766835,amenity=taxi,-749586.2028,2519442.674
2185766840,amenity=taxi,-749598.6161,2519438.902
2195651220,"amenity=restaurant,name:en=One Dim Sum Chinese Restaurant",-725098.0251,2518400.791
2265632172,amenity=fuel,-727480.2227,2519621.521
2279066015,amenity=ferry_terminal,-727214.9229,2514475.81
2296597397,amenity=fuel,-719643.8902,2516696.475
2323318073,"amenity=parking,name:en=Prosperity Place Car Park",-719310.6348,2516269.706
2328065649,amenity=shelter,-746440.0804,2516981.577
2365370777,amenity=toilets,-723320.3998,2516203.254
2370632009,amenity=parking,-715906.5907,2515695.829
2411853273,amenity=bank,-724266.9341,2515987.748
2411856405,shop=books,-724250.6759,2515989.364
2411879093,shop=mobile_phone,-724344.6681,2515540.721
2412061735,"amenity=bus_station,name:en=HKUST (South)",-715255.9104,2518503.043
2417631546,"amenity=bank,name:en=HSBC Lai Chi Kok Road Branch",-725866.1936,2518672.122
2420329085,"amenity=restaurant,name:en=Tai Hing",-725856.0163,2517808.493
2424866560,"shop=convenience,name:en=7-Eleven",-725908.0055,2518347.912
2441044895,"amenity=parking,name:en=Auto Plaza Car Park",-724574.2503,2515285.095
2441044906,"shop=travel_agency,name:en=Philippine Airlines",-724441.7617,2515493.987
2441044907,"amenity=restaurant,name:en=Red Forrest",-724376.6388,2515540.658
2441266982,"shop=confectionery,name:en=Okashi Land",-724464.5112,2515248.701
2441266989,"shop=tailor,name:en=Shanghai Custom Tailor Ken Tiger",-724361.7982,2515406.326
2441267002,amenity=bureau_de_change,-724535.6768,2515290.064
2441267017,shop=convenience,-724369.0996,2515467.237
2441267023,amenity=pharmacy,-724386.3773,2515456.107
2449459026,"amenity=library,name:en=Au Shue Hung Memorial Library",-723670.5295,2519733.14
2459451218,amenity=shelter,-753316.4613,2516700.101
2620535430,amenity=bicycle_parking,-715186.171,2516339.479
2628451088,amenity=toilets,-727080.7489,2521250.031
2653208135,amenity=shelter,-724567.0813,2521745.362
2666815699,amenity=toilets,-726218.456,2521646.233
2666817367,amenity=bicycle_parking,-723817.233,2523630.862
2668679570,shop=convenience,-721555.9865,2518751.828
2701443194,amenity=fountain,-721940.9314,2520092.483
2798691802,amenity=grave_yard,-742582.9648,2514389.137
2826716530,amenity=toilets,-714695.6808,2518586.381
2904674304,"amenity=toilets,name:en=Ma Wan Heung Sze Wui Road Aqua Privy",-736856.2386,2521971.785
2930723870,amenity=cafe,-710864.9916,2523161.096
2930723872,amenity=cafe,-710805.9817,2523129.232
2935557585,amenity=restaurant,-724975.6492,2515069.869
2936536788,amenity=restaurant,-725005.3895,2515115.784
2938377186,amenity=restaurant,-725010.3096,2515096.668
2941442647,amenity=post_box,-723977.0224,2522553.523
2990369226,"amenity=parking,name:en=Mayfair Gardens Car Park",-731500.4568,2521022.494
2999564650,amenity=shelter,-725295.2706,2519444.895
2999565240,amenity=toilets,-724899.6576,2519824.577
3017363970,amenity=drinking_water,-727812.0538,2514544.222
3017941122,"shop=mall,name:en=Shatin Park Phase 1",-721695.0445,2524200.819
3017943031,"amenity=toilets,name:en=Siu Lek Yuen Village Public Toilet",-720216.3184,2524294.006
3017943996,amenity=bicycle_parking,-721097.5729,2524479.965
3035847462,shop=kiosk,-721813.2286,2524921.185
