cid,sid,car_lon,car_lat,days,times
11,1,-324732.2896,4476741.045,"Saturday, February 14, 2009",2:20
11,7,-324685.9732,4476715.896,"Saturday, February 14, 2009",2:20
11,10,-324658.5836,4476701.074,"Saturday, February 14, 2009",2:20
11,14,-324623.3058,4476679.194,"Saturday, February 14, 2009",2:20
11,19,-324587.4263,4476641.671,"Saturday, February 14, 2009",2:20
12,12,-324486.4111,4476446.096,"Saturday, February 14, 2009",2:21
12,16,-324468.1969,4476393.599,"Saturday, February 14, 2009",2:21
12,19,-324456.1002,4476359.05,"Saturday, February 14, 2009",2:21
13,0,-324448.6097,4476339.083,"Saturday, February 14, 2009",2:21
13,3,-324432.4304,4476306.148,"Saturday, February 14, 2009",2:21
13,5,-324424.5792,4476281.637,"Saturday, February 14, 2009",2:21
14,8,-324295.2548,4476006.945,"Saturday, February 14, 2009",2:22
14,11,-324281.3847,4475979.332,"Saturday, February 14, 2009",2:22
14,16,-324251.2288,4475915.777,"Saturday, February 14, 2009",2:22
14,17,-324243.0721,4475900.627,"Saturday, February 14, 2009",2:22
14,18,-324241.2975,4475890.476,"Saturday, February 14, 2009",2:22
15,0,-324232.0329,4475861.688,"Saturday, February 14, 2009",2:22
15,3,-324223.5177,4475828.657,"Saturday, February 14, 2009",2:22
15,10,-324207.396,4475752.929,"Saturday, February 14, 2009",2:23
16,11,-324080.7985,4475515.15,"Saturday, February 14, 2009",2:23
17,15,-324019.8661,4475236.487,"Saturday, February 14, 2009",2:24
17,24,-323939.7606,4475191.504,"Saturday, February 14, 2009",2:25
19,12,-323757.0877,4474815.269,"Saturday, February 14, 2009",2:26
20,2,-323718.2548,4474697.645,"Saturday, February 14, 2009",2:26
21,1,-323623.0274,4474469.682,"Saturday, February 14, 2009",2:29
21,7,-323599.8375,4474418.911,"Saturday, February 14, 2009",2:29
21,15,-323663.7536,4474394.16,"Saturday, February 14, 2009",2:29
22,3,-323903.2826,4474403.236,"Saturday, February 14, 2009",2:30
22,16,-324010.0895,4474337.375,"Saturday, February 14, 2009",2:32
22,19,-324013.9012,4474283.909,"Saturday, February 14, 2009",2:32
23,16,-324040.7527,4473985.181,"Saturday, February 14, 2009",2:34
23,18,-324045.8807,4473951.389,"Saturday, February 14, 2009",2:34
24,15,-324050.9767,4473767.23,"Saturday, February 14, 2009",2:36
24,19,-324056.4656,4473719.579,"Saturday, February 14, 2009",2:36
30,3,-324051.7629,4473689.973,"Thursday, March 19, 2009",0:00
30,5,-324054.5751,4473719.755,"Thursday, March 19, 2009",0:01
30,7,-324056.2453,4473748.095,"Thursday, March 19, 2009",0:01
30,14,-324047.3481,4473833.467,"Thursday, March 19, 2009",0:01
31,7,-324028.9286,4474010.167,"Thursday, March 19, 2009",0:01
31,8,-324028.3991,4474022.87,"Thursday, March 19, 2009",0:01
31,13,-324028.6884,4474091.618,"Thursday, March 19, 2009",0:02
32,18,-323997.9585,4474395.554,"Thursday, March 19, 2009",0:03
33,3,-323872.6581,4474384.867,"Thursday, March 19, 2009",0:03
33,10,-323791.2793,4474380.488,"Thursday, March 19, 2009",0:03
33,14,-323745.8483,4474378.726,"Thursday, March 19, 2009",0:03
33,19,-323688.0358,4474375.411,"Thursday, March 19, 2009",0:03
34,16,-323586.7485,4474464.787,"Thursday, March 19, 2009",0:06
34,17,-323592.9131,4474479.73,"Thursday, March 19, 2009",0:06
34,20,-323603.2466,4474514.647,"Thursday, March 19, 2009",0:07
34,23,-323620.0106,4474556.832,"Thursday, March 19, 2009",0:07
35,2,-323648.9248,4474643.706,"Thursday, March 19, 2009",0:07
35,7,-323667.9976,4474696.472,"Thursday, March 19, 2009",0:07
35,10,-323682.532,4474733.92,"Thursday, March 19, 2009",0:07
35,12,-323693.2475,4474758.742,"Thursday, March 19, 2009",0:07
36,1,-323745.4146,4474885.132,"Thursday, March 19, 2009",0:08
36,15,-323821.4234,4475035.166,"Thursday, March 19, 2009",0:08
37,6,-323874.1651,4475164.257,"Thursday, March 19, 2009",0:08
38,1,-323956.0432,4475362.229,"Thursday, March 19, 2009",0:08
38,8,-323980.9869,4475437.793,"Thursday, March 19, 2009",0:09
38,9,-323987.2945,4475446.175,"Thursday, March 19, 2009",0:09
38,10,-323993.6556,4475457.952,"Thursday, March 19, 2009",0:09
38,14,-324019.4395,4475496.8,"Thursday, March 19, 2009",0:09
39,5,-324045.7582,4475636.343,"Thursday, March 19, 2009",0:09
40,5,-324170.7804,4475862.124,"Thursday, March 19, 2009",0:10
40,6,-324177.9987,4475871.36,"Thursday, March 19, 2009",0:10
40,8,-324191.801,4475890.327,"Thursday, March 19, 2009",0:10
40,18,-324240.6652,4476012.433,"Thursday, March 19, 2009",0:10
41,5,-324282.5313,4476103.545,"Thursday, March 19, 2009",0:10
41,7,-324293.8075,4476125.806,"Thursday, March 19, 2009",0:10
42,6,-324401.1891,4476358.306,"Thursday, March 19, 2009",0:11
43,1,-324476.9997,4476519.022,"Thursday, March 19, 2009",0:11
43,4,-324492.2775,4476560.115,"Thursday, March 19, 2009",0:11
43,11,-324523.2517,4476650.422,"Thursday, March 19, 2009",0:11
229,2,-325066.5715,4473792.398,"Monday, March 23, 2009",6:28
229,17,-325053.7062,4473982.662,"Monday, March 23, 2009",6:29
230,3,-325045.5237,4474061.547,"Monday, March 23, 2009",6:29
230,6,-325052.5748,4474102.675,"Monday, March 23, 2009",6:29
230,12,-325044.2486,4474231.678,"Monday, March 23, 2009",6:30
231,6,-325035.1781,4474355.519,"Monday, March 23, 2009",6:30
231,11,-325028.6529,4474420.506,"Monday, March 23, 2009",6:30
231,13,-325016.8933,4474460.715,"Monday, March 23, 2009",6:31
231,15,-325023.6712,4474488.488,"Monday, March 23, 2009",6:31
