_1,_2,_3,_4
-2347892.189,1913068.418,-804628.1341,2937458.622
-2477210.173,2948097.413,-808618.4845,3434540.126
-3649481.993,3434621.845,-897444.3235,3965181.281
-4054375.664,3967712.393,-867424.789,6159062.416
-796802.8165,2499608.606,-712920.6066,2514344.785
-799132.562,2514361.372,-706633.7027,2526008.467
-804084.9808,2526059.105,-647379.5354,2602830.12
-804470.9665,2606252.306,-541585.3511,4797062.213
-534566.561,2615326.237,-170262.4893,3313219.965
-540088.1147,3313253.29,-168835.8441,3951377.737
-529563.3994,3952113.167,-172619.1858,4466248.623
-496855.9344,4466253.889,-232741.9013,4919565.462
-167621.2501,2837875.733,144910.1583,3368244.472
-110298.4275,3368246.274,159577.2047,3465097.784
-168520.2188,3465117.108,93105.74631,3648582.199
-165296.6129,3651519.229,1169247.252,5875910.276
